ENA.Accession.Number,Isolate,Lane.accession,CTZ,CTX,AMP,AMX,AMC,TZP,CXM,CET,GEN,TBM,TMP,CIP
ERS356929,11657_5#10,ERR434268,S,S,S,,S,S,S,I,S,S,S,S
ERS356935,11657_5#11,ERR434269,S,S,R,,R,S,S,I,S,S,R,R
ERS356938,11657_5#12,ERR434270,S,S,S,,S,S,S,S,S,S,S,S
ERS356941,11657_5#13,ERR434271,S,S,R,,R,S,S,I,S,S,S,R
ERS356967,11657_5#14,ERR434272,S,S,R,,S,S,S,S,S,S,R,S
ERS356984,11657_5#15,ERR434273,S,S,S,,S,S,S,S,S,S,S,S
ERS356995,11657_5#16,ERR434274,S,S,R,,R,I,R,I,R,R,R,R
ERS357016,11657_5#17,ERR434275,S,S,S,,S,S,S,S,S,S,S,S
ERS357017,11657_5#18,ERR434276,S,S,S,,S,S,S,I,S,S,S,S
ERS357022,11657_5#19,ERR434277,S,S,S,,S,S,S,S,S,S,S,S
ERS356741,11657_5#1,ERR434259,S,S,R,,R,S,S,I,S,S,R,R
ERS357031,11657_5#20,ERR434278,S,S,R,,S,S,S,I,S,S,S,S
ERS357080,11657_5#21,ERR434279,S,S,S,,S,S,S,I,S,S,S,S
ERS357117,11657_5#22,ERR434280,S,S,S,,S,S,R,I,S,S,S,R
ERS357118,11657_5#23,ERR434281,S,S,S,,S,S,S,S,S,S,S,S
ERS357141,11657_5#24,ERR434282,R,R,R,,R,S,R,R,R,R,R,R
ERS357184,11657_5#25,ERR434283,S,,,R,S,S,S,,S,,,S
ERS357187,11657_5#26,ERR434284,S,,,S,S,S,R,,S,,,S
ERS357200,11657_5#27,ERR434285,S,,,R,S,S,S,,S,,,S
ERS357205,11657_5#28,ERR434286,S,S,R,,S,S,S,I,S,S,S,S
ERS357221,11657_5#29,ERR434287,S,,,R,S,S,S,,R,,,S
ERS356749,11657_5#2,ERR434260,S,S,R,,S,S,S,S,S,S,R,S
ERS357222,11657_5#30,ERR434288,S,,,R,R,S,S,,S,,,S
ERS357244,11657_5#31,ERR434289,S,S,,R,S,I,R,,S,,,S
