Patric.Genome.ID,Year,amikacin,amoxicillin_clavulanic_acid,ampicillin_sulbactam,aztreonam,cefazolin,cefepime,cefoxitin,ceftazidime,ceftriaxone,cefuroxime_sodium,ciprofloxacin,ertapenem,gentamicin,imipenem,levofloxacin,meropenem,nitrofurantoin,ofloxacin,piperacillin_tazobactam,tetracycline,ticarcillin_clavulanic_acid,tobramycin,trimethoprim,trimethoprim_sulfamethoxazole
573.129,2023,S,,S,S,S,S,S,S,S,S,S,,S,S,S,S,R,,S,S,,S,,S
573.14253,2023,S,,R,R,R,R,R,R,R,R,R,,S,S,R,S,,,R,S,,S,,S
573.14252,2023,S,,R,R,R,S,R,R,R,R,R,,R,R,R,R,R,,R,R,,,,R
573.14251,2023,S,,R,R,R,R,R,R,R,R,R,,S,R,R,R,R,,R,R,,,,R
573.14249,2023,S,,R,R,R,R,S,R,R,R,R,,R,S,R,S,,,R,R,,R,,R
573.14248,2023,S,,R,R,R,,R,R,R,R,R,,R,S,R,S,R,,R,R,,S,,R
573.14247,2023,S,,R,R,R,,R,R,R,R,R,,R,R,R,R,R,,R,R,,,,R
573.14246,2023,S,,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,,R,R,,S,,S
573.14245,2023,S,,R,R,R,R,,R,R,R,R,,R,S,R,S,,,,R,,R,,R
573.14244,2023,S,,R,R,R,R,S,R,R,R,R,,R,S,R,S,R,,R,S,,S,,R
573.14243,2023,S,,R,R,R,R,R,R,R,R,R,,S,R,R,R,R,,R,R,,R,,R
573.14241,2023,S,,R,R,R,R,R,R,R,R,R,,R,S,R,S,R,,R,S,,R,,R
573.1424,2023,S,,R,R,R,R,R,R,R,R,R,,R,R,R,R,,,R,R,,R,,R
573.14239,2023,S,,R,R,R,R,R,R,R,R,R,,R,R,R,R,,,R,R,,R,,R
573.14238,2023,S,,R,R,R,R,R,R,R,R,R,,R,R,R,R,,,R,S,,,,R
573.14237,2023,S,,R,R,R,R,S,R,R,R,S,,S,S,S,S,,,,R,,,,R
573.14236,2023,S,,R,R,R,S,R,R,R,R,R,,R,R,R,R,R,,R,S,,S,,R
573.14235,2023,S,,R,R,R,R,S,R,R,R,R,,R,S,,S,,,S,R,,R,,R
573.14234,2023,S,,R,R,R,S,R,R,R,R,R,,R,R,R,R,R,,R,S,,S,,R
573.14232,2023,S,,R,R,R,S,R,R,R,R,R,,S,S,R,S,R,,R,S,,S,,R
573.14229,2023,S,,R,R,R,,R,R,R,R,S,,S,R,S,S,S,,R,S,,S,,S
573.14227,2023,S,,R,R,R,S,R,R,R,R,R,,R,S,R,S,R,,R,R,,R,,R
573.14225,2023,S,,R,R,R,,,R,R,R,R,,R,R,R,R,,,R,S,,,,R
573.14222,2023,S,,R,R,R,S,R,R,R,R,R,,R,R,R,R,,,R,R,,,,R
573.14257,2023,S,,R,R,R,R,S,R,R,R,R,,S,S,R,S,,,,R,,R,,R
573.14258,2023,S,,R,R,R,R,S,R,R,R,R,,S,S,R,S,R,,,R,,R,,R
