Isolate,Year,CTZ,CTX,AMP,AMX,AMC,TZP,CXM,CET,GEN,TBM,TMP,CIP,ST
11658_4#1,2006.0,S,S,S,,S,S,R,S,S,S,S,S,135
11657_5#1,2006.0,S,S,R,,R,S,S,S,S,S,R,R,10
11658_4#2,2006.0,S,S,S,,S,S,S,S,S,S,S,S,127
11658_5#1,2006.0,S,S,R,,S,S,S,S,S,S,R,R,10
11658_5#2,2007.0,S,R,R,,R,S,R,R,S,R,R,R,131
11658_6#1,2007.0,S,S,S,,S,S,S,S,S,S,S,S,95
11658_5#3,2007.0,S,S,R,,S,S,S,S,S,S,R,R,648
11658_4#3,2007.0,S,S,R,,R,R,S,S,S,S,R,S,69
11658_5#4,2007.0,S,S,R,,R,S,S,S,S,S,R,S,5375
11657_5#2,2007.0,S,S,R,,S,S,S,S,S,S,R,S,95
11658_6#2,2007.0,S,S,S,,S,S,S,S,S,S,S,S,5561
11658_6#3,2007.0,S,S,S,,S,S,S,S,S,S,S,S,127
11658_5#5,2007.0,S,S,R,,R,S,S,S,S,S,R,R,131
11791_7#1,2007.0,S,S,R,,R,R,S,S,S,S,S,S,73
11791_7#2,2007.0,S,S,R,,R,S,S,S,S,R,R,R,131
11657_5#3,2007.0,S,S,R,,R,S,R,S,S,S,R,S,73
11658_6#4,2007.0,S,S,S,,S,S,S,S,S,S,S,S,5546
11791_6#1,2007.0,S,S,R,,S,S,S,S,R,S,S,S,131
11658_6#5,2007.0,S,S,S,,S,S,S,S,S,S,S,S,73
11658_7#1,2007.0,S,S,R,,S,S,S,S,S,S,R,S,95
11658_8#24,2007.0,S,S,S,,S,S,S,S,S,S,S,S,12
11791_7#3,2007.0,S,S,S,,S,S,S,S,S,S,S,S,93
11658_5#6,2007.0,S,S,S,,S,S,S,S,S,S,S,S,95
11658_5#7,2007.0,S,S,S,,S,S,S,S,S,S,S,S,12
11658_5#8,2007.0,S,S,S,,S,S,S,S,S,S,S,S,62
11658_4#4,2007.0,S,S,S,,S,S,S,S,S,S,S,S,635
11658_4#5,2007.0,S,S,R,,S,S,S,S,S,S,S,S,95
11791_7#4,2007.0,S,S,S,,S,S,S,S,S,S,S,S,73
11791_7#5,2007.0,S,S,R,,S,S,S,S,R,R,R,R,131
11658_5#9,2007.0,S,S,S,,S,S,S,S,S,S,S,S,88
11791_7#6,2007.0,S,S,R,,R,R,R,R,S,R,R,R,648
11657_5#4,2007.0,S,S,S,,S,,S,S,S,S,S,S,5338
11657_6#1,2007.0,S,S,R,,S,S,S,S,S,S,R,R,453
11658_5#10,2007.0,S,S,R,,R,S,S,S,S,S,R,S,69
11658_7#2,2007.0,S,S,R,,S,S,S,S,S,S,S,S,23
11658_5#11,2007.0,S,S,R,,R,S,S,S,R,S,R,R,131
11658_7#3,2007.0,S,S,R,,S,S,S,S,S,S,R,S,69
11658_7#4,2007.0,S,S,R,,S,S,S,S,S,S,S,S,405
11658_8#25,2007.0,S,S,S,,S,S,S,S,S,S,S,S,136
11658_6#6,2007.0,S,S,R,,S,S,S,S,S,S,S,S,80
11658_7#5,2007.0,S,S,S,,S,S,S,S,S,S,S,S,73
11658_6#7,2007.0,S,S,S,,S,S,S,S,S,S,R,S,1148
11658_8#26,2007.0,S,S,R,,S,S,S,S,S,S,R,R,69
11658_5#12,2007.0,S,S,R,,R,S,S,S,S,S,S,S,73
11658_6#8,2007.0,S,S,R,,R,S,S,S,S,S,S,S,73
11658_5#13,2007.0,S,S,S,,S,S,S,S,S,S,S,S,69
11658_6#9,2007.0,S,S,R,,R,S,S,S,S,S,S,S,73
11658_5#14,2007.0,S,S,R,,S,S,S,S,S,S,S,R,131
11657_5#5,2007.0,S,S,R,,S,S,S,S,R,R,R,S,453
11658_3#1,2007.0,S,S,S,,S,S,S,S,S,S,S,S,2015
11791_7#7,2007.0,R,R,R,,S,S,R,R,S,S,S,R,131
11658_6#10,2007.0,R,R,R,,R,S,R,R,S,R,R,R,131
11658_6#11,2007.0,S,S,R,,R,S,S,S,S,S,R,S,88
11679_4#1,2007.0,S,R,R,,R,S,R,R,S,S,R,R,648
11658_6#12,2007.0,S,S,S,,S,S,S,S,S,S,S,S,59
11658_8#27,2007.0,S,S,S,,S,S,S,S,S,S,R,R,131
11791_6#2,2008.0,S,S,S,,S,S,S,S,S,S,R,R,69
11658_7#6,2008.0,S,S,R,,S,S,S,S,S,S,R,S,69
11791_7#9,2008.0,S,S,S,,S,S,S,S,S,S,S,S,1485
11791_7#10,2008.0,S,S,S,,S,S,S,S,S,S,S,S,357
11658_7#7,2008.0,R,R,R,,S,S,R,R,S,S,R,R,131
11658_5#15,2008.0,S,S,S,,S,S,S,S,S,S,S,S,73
11791_7#11,2008.0,S,S,R,,S,S,S,S,S,S,S,S,95
11791_7#12,2008.0,S,S,S,,S,S,S,S,S,S,S,S,73
11658_4#6,2008.0,S,S,S,,S,S,S,S,S,S,S,S,538
11658_6#13,2008.0,S,R,R,,R,S,R,R,S,R,R,R,131
11657_6#2,2008.0,S,S,S,,S,S,S,S,S,S,S,S,95
11658_6#14,2008.0,S,S,S,,S,S,S,S,S,S,R,R,1594
11658_6#15,2008.0,S,S,R,,S,S,S,S,S,S,R,R,115
11658_8#28,2008.0,S,S,S,,S,S,S,S,S,S,S,S,73
11658_8#29,2008.0,S,S,S,,S,S,S,S,S,S,S,S,46
11658_7#8,2008.0,S,S,R,,R,S,S,S,R,R,R,R,131
11658_5#16,2008.0,S,S,R,,S,S,S,S,S,S,S,S,73
11658_6#16,2008.0,R,R,R,,R,S,R,R,S,S,R,R,88
11658_7#9,2008.0,S,S,S,,S,S,S,S,S,S,S,S,73
11658_8#30,2008.0,R,R,R,,R,S,R,R,R,R,S,R,648
11658_8#31,2008.0,S,S,S,,S,S,S,S,S,S,S,S,73
11791_7#13,2008.0,S,S,R,,R,R,S,S,S,S,S,S,73
11791_7#14,2008.0,S,S,S,,S,S,S,S,S,S,S,S,73
11658_7#10,2008.0,S,S,S,,S,S,S,S,S,S,S,S,405
11658_6#17,2008.0,S,S,R,,S,S,S,S,S,S,R,S,69
11791_7#15,2008.0,S,S,S,,S,S,S,S,S,S,S,S,95
11658_5#17,2008.0,S,S,S,,S,S,S,S,S,S,S,S,14
11658_5#18,2008.0,S,S,S,,S,S,S,S,S,S,S,S,10
11658_7#11,2008.0,S,S,R,,R,S,S,S,S,S,S,S,404
11658_6#18,2008.0,S,S,S,,S,S,S,S,S,S,S,S,80
11658_4#7,2008.0,S,S,S,,S,S,S,S,S,S,S,S,131
11658_6#19,2008.0,S,S,R,,S,S,S,S,S,S,S,S,69
11791_6#3,2008.0,S,S,R,,S,S,S,S,S,S,R,S,69
11658_6#20,2008.0,S,S,S,,S,S,S,S,S,S,S,S,14
11658_5#19,2008.0,S,R,R,,R,S,R,R,S,R,R,R,131
11658_4#8,2008.0,S,S,R,,S,S,S,S,S,S,S,S,73
11658_8#32,2008.0,S,S,R,,S,S,S,S,S,S,R,S,405
11658_7#13,2008.0,S,S,R,,R,R,R,S,S,S,R,S,349
11658_4#9,2008.0,S,S,S,,S,S,S,S,S,S,S,S,2773
11657_6#3,2008.0,S,S,S,,S,S,S,S,S,S,S,S,73
11679_5#1,2008.0,S,S,R,,S,S,S,S,S,S,S,S,144
11658_5#20,2008.0,S,S,R,,S,S,S,S,S,S,S,S,73
11658_5#21,2008.0,S,S,S,,S,S,S,S,S,S,S,S,127
11658_5#22,2008.0,S,S,R,,R,S,S,S,S,S,R,R,393
11658_5#23,2008.0,S,S,R,,S,S,S,S,S,S,S,S,73
11658_8#33,2008.0,R,R,R,,S,S,R,R,S,S,S,S,963
11658_8#34,2008.0,S,S,S,,S,S,S,S,S,S,S,S,73
11657_6#4,2008.0,S,S,R,,S,S,S,S,S,S,R,R,1431
11658_5#25,2008.0,S,S,S,,S,S,S,S,S,S,S,S,144
11658_4#10,2008.0,S,S,S,,S,S,S,S,S,S,S,S,127
11658_6#21,2008.0,S,S,R,,S,S,S,S,S,S,S,S,404
11658_7#14,2008.0,S,R,R,,R,S,R,R,S,S,S,S,12
11658_5#26,2008.0,R,R,R,,R,S,R,R,S,R,R,R,131
11658_5#27,2008.0,S,S,R,,R,S,R,R,S,S,S,S,73
11791_6#4,2008.0,S,S,R,,S,S,S,S,S,S,R,S,95
11658_7#15,2009.0,S,S,R,,R,S,R,S,S,R,R,R,131
11791_6#5,2009.0,S,S,R,,R,S,S,S,S,S,S,S,104
11658_5#28,2009.0,S,R,R,,R,S,R,R,S,R,R,R,131
11791_7#16,2009.0,S,S,S,,S,S,S,S,S,S,S,S,101
11658_6#22,2009.0,R,R,R,,R,S,R,R,S,S,S,S,131
11658_4#11,2009.0,S,S,R,,R,S,S,S,S,S,R,S,69
11658_5#29,2009.0,S,S,R,,R,R,S,S,S,S,S,S,73
11658_4#12,2009.0,S,S,R,,R,S,S,S,S,S,R,S,69
11658_4#13,2009.0,S,R,R,,S,S,R,R,S,S,R,S,117
11658_6#23,2009.0,S,S,R,,R,S,S,S,S,S,S,S,69
11658_4#14,2009.0,S,S,S,,S,S,S,S,S,S,S,S,59
11658_5#30,2009.0,S,S,R,,R,S,S,R,S,S,S,S,95
11658_7#16,2009.0,R,S,R,,S,S,S,R,S,S,R,R,131
11658_8#35,2009.0,S,S,R,,R,S,S,S,S,S,R,S,73
11658_5#31,2009.0,S,S,S,,S,S,S,S,S,S,S,S,12
11791_7#17,2009.0,S,S,R,,R,R,S,S,S,S,R,S,10
11658_7#17,2009.0,S,S,S,,S,S,S,S,S,S,S,S,131
11791_7#18,2009.0,S,S,R,,R,S,S,S,S,S,S,S,95
11657_6#5,2009.0,S,S,S,,S,S,S,S,S,S,S,S,5663
11658_4#15,2009.0,S,S,S,,S,S,S,S,S,S,S,S,5484
11657_5#6,2009.0,S,S,R,,R,,R,R,S,R,R,R,73
11657_6#6,2009.0,S,S,R,,S,S,S,S,S,S,S,S,95
11658_5#32,2009.0,S,S,R,,S,S,S,S,S,S,S,S,131
11658_6#24,2009.0,S,S,R,,R,S,R,S,S,S,R,S,405
11658_7#18,2009.0,S,S,S,,S,S,S,S,S,S,S,S,95
11658_5#33,2009.0,S,S,R,,R,S,S,S,S,S,S,S,95
11657_5#7,2009.0,S,S,R,,S,S,S,S,S,S,S,R,131
11658_4#16,2009.0,S,S,R,,S,S,S,S,S,S,R,S,95
